,R²,MAE,RMSE,MAPE%
Stacked Ensemble,0.9997779008507862,0.6586021130083594,0.9467554349038528,1.563981190161479
CatBoost,0.9996695749138816,0.8486528743110663,1.1547842856801327,2.1346453592634926
XGBoost,0.9996023962534979,0.8621203469634056,1.2667461511640776,1.6838684275775389
LightGBM,0.9995703658621097,0.933928732452836,1.3167816037860336,1.8619900594821837
